
1. A = antropoceen, E = ecologie/ecologische, N = natuur/lijke, W = wetenschappen, NW = natuurwetenschappen, T = technologie, R = religie, M = mens(en)/menselijk, S = spirituele/spiritualiteit, C = crisis(en), K = klimaat
Abdullah Omar Nasseef | p372 | + | M tussen engelen en dieren
Koen Lowet | p149 | + | Kritisch over "klimaatpsychologie" => denkt dat er inderdaad een probleem is, maar is ervan overtuigd dat bestaande kaders al genoeg zijn
Leo Apostel | p70 | - | Atheisme & R
Lewis en Maslin | p324 | + | begin A in 1610 met ontdekking amerika & genocide amerikaanse inheemse bevolkingen + 5 redenen p328-329
Linda Woodhead | p67 | + | cf Paul Heelas
Lise Van Susteren | p146,p148 | + | pre-traumatic stress response in verband met EC
Lynas, Nordhaus en Shellenberger | p434 | + | alternatief verhaal voor gevolg van M op K, in vraag stellen van vooruitgang is problematisch, niet realistisch dat mensen zichzelf gaan begrenzen
Lynn White Jr. | p27 | - | oorsprong N en T in M- en wereldbeeld van het middeleeuse West-europa
Lynn White Jr. | p363 | + | historische wortels van EC, grondlegger ecotheologie
Maarten Boudry | p134 | + | 4 types vooruitgangsloochenaars: nostalgische pessimisten, "Wacht maar"-school, cyclische pessimisten & tredmolen pessismisten
Maarten Boudry | p43 | + | cf Steven Pinker
Marcel Crok | p155 | + | voorbeeld van klimaatscepticus
Marcel Crok | p172 | + | EC is "zoals kerstboom waar iedereen zijn favoriete bol in hangt", EC is bij uitstek postnormale probleem
Mark Lynas | p111 | + | auteur zes graden => beschijft wereld/impact EC voor elke graad
Massimo Livi-Bacci | p332 | + | beschrijft impact aankomst spanjaarden => niet direct gelinkt aan epidemie, eerder aan ontvrichten van samenleving van Indianen, die extra erg werd door epidemie
Max Roser | p23 | - | arme vandaag hebben het in sommige opzichten beter dan rijken vroegen voorbeeld van Nathan Rothschild)
Melinda Zeder | p323 | + | cf Bruce Smith
Michael Chrichton | p193 | + | klimaatscepticus, ecologsime == 21ste eeuwse R
Michael Chrichton | p211 | + | E biedt voor meer en meer mensen invulling aan => linkt hij aan R, E is slachtoffer van hardnekkige religieuze mythes (bv primitieve M in harmonie met natuur & elkaar, N liefdevol, harmonieus en paradeijslijk)
Michael Chrichton | p433 | + | antropoceen => M vanaf begin grote impact, aarde =! paradijs
Michael E. Mann | 130 | - | reageert op David boek => te alarmistisch, EC is zo al erg genoeg
Michael Ruse | p415+ | + | beschrijft effect Gaiahypothese, momentum ervan voorbij rond de eeuwwisseling
Michael Shellenberger | p431 | + | cf Ted Nordhaus
Michael S. Northcott | p47 | + | auteur The Care of Creation, EC is gevolg van consumptie maatschappij, van het gericht op God naar gericht op niet-God, EC =~ SC
Mihaly Csikszentmihalyi | p85 | - | alternatieve definitie S
Mike Hulme | p167 | - | W heeft onenigheid nodig om vooruit te gaan, problemen met technocratie: beleid niet waarden vrij en onrealistische eisen tegenover zekerheid van de W
M.S. Srinivasan | p53 | - | veel S gesprokken op dat moment (2003), S op het werk niet meer een taboe => populair, 
Paul Brockelman | p45 | + | auteur The Greening of Faith, 4 redenen waarom EC een SC is, EC =~ SC
Paul Crutzen | p299 | + | bedenker term A, 
Paul Crutzen | p307 | + | keuze begin A arbitrair, opteert einde 18de eeuw (1784 moderne stoomachine)
Paul Fransiscus | deel 9.1.3 | + | auteur "Laudato Si" => natuur niet louter instrumentale waarde, gematigde antropocentrisme, verbonden met een sterke theocentrisme, EC is een RC
Paul Gervais, Charles Lyell | p303 | - | introduceerden de term 'holoceen'
Paul Heelas | p67 | + | moderne M steeds minder laten leiden door vastgelegde rollen, taken, plichten => in tegenstelling tot traditionele religie die benadrukt dat het individu zich moet conformeren aan externe autoriteiten, S is iets +, R is echter - geconnoteerd => shift van R naar nieuwe spiritualiteit
Paul Tillich | p26 | - | R => poging van de M "om in de M eindigheid het eindige te boven te kommen"
Per Espen Stoknes | p118 | + | verklaart vermindering van interesse door 1) evolutionaire psychologie (eigenbelang, imitatie, aanzien binnen de groep,korte termijndenken), 2) cognitieve psychologie (EC niet direct zichtbaar, slechte perceptie van de risico's [aka M is stupid], vooroordelen hebben grote impact op ons denken en doen) en 3) NW en Kactivisten beschouwen M als rationeel => is echter niet zo! (p125)
Per Espen Stoknes | p134, p140 | + | actief & passief optimisme, stoïsche & gefundeerde hoop
Per Espen Stoknes | p177 | + | identiteit
Peter L. Berger | p206 | + | functionele definitie wordt gebruikt speciefieke-religieuze dingen
Philip Hefner | p26 | + | T is inherent R, R is een vorm van T, volgt Paul Tillich
Philip Hefner | p83 | + | T is een spiegel voor M, brede definitie van T
Philip Sheldrake | p58, p64 | + | S meest gangbaar in gezondheidszorg, moet groeien, prof gaat hiermee ok, S moet zich in vraag kunnen laten stellen door dramatische gebeurtenissen in de geschiedenis
Rabbi Lawrence Troster | p371 | + | reden dat mis gaat : God beeld van M => M is vertengwoordiger god, zegt dat M laatkommers zijn => geen reden tot arrogantie
Ray Kurzweil | p25 | + | voorspelt singulariteit, R belangerijk geweest, NW en T ipv R, dit betracht hij als positief
Rebecca Nye | p60 | - | S niet uniform, verandert met levenservaringen
Richard Dawkins | p408 | + | cf Ford Doolittle
Richard John Neuhaus | p369 | - | theologische adviseur George W. Bush, ecologisme =~ poging om religie te perverteren en te vervangen door een heidendom
Roger A. Pielke Jr. | p162,p167 | + | definieert W, beleid en politiek, tornadopolitiek, abortuspolitiek
Sam Harris | p276 | + | gaat tegen Arnold Burms en Herman de Dijn in => NW hebben wel iets te zeggen over zingeving, verklaart door het streven naar welzijn door M
Sam Harris | p70 | - | auteur boek die als startpunt van nieuwe S beschouwd wordt, Atheisme & R
Seyyed Hossein Nasr | p48 | + | EC heeft S & R dimensie want veroorzaakt door hoe de moderne M in de wereld staat, ware S enkel mogelijk in R kader, EC =~ SC
Sheila Jasanoff  | p164 | + | omschrijft de coproductie van kennis en sociale orde => natuur en cultuur kunnen niet volledig gescheiden blijven
Shrivatsa Goswanmi | p384 | + | vergroening hindoeïsme
Stephen Batchelor | p43 | + | auteur Buddhism and Ecology, boeddhisme kan (en moet) creatief reageren op de moderne cultuur, EC =~ SC
Stephen J. Gould | p244, pleidooi p268-271 | + | NOMA-principe
Steven Pinker & Maarten Boudry | p133 | + | pessimisme kan gevaarlijk zijn (fatalisme & radicalisme)
Steven Pinker & Maarten Boudry | p43 | + | crisisen op te lossen dankzij WTK
Sylvie Van Ginneken | p115 | - | journaliste bij Standaard, beschrijft haat reacties tegen klimaat jongeren
Taede Smedes | p265, p287 | + | parabel van de onzichtbare tuinman, integratie model leidt tot conflict model (procrustbed), idee van resonantie
Taede Smedes | p77 | + | beschijft R naturalisme (naturalisme die niet R uitsluit)
Ted Nordhaus | p431 | + | oprichter breaktrough Institute, recepten traditionele groenen niet geschikt
Thomas William Jenkyn | p302 | - | menselijk tijdperk voordat de term "antropoceen" ingevoerd werd
Tim Lenton | p415 | - | leerling Lovelock, verkeerd om regulatie door de biosfeer te praten, eerder door levende wezens in biosfeer
Toby Tyrell | p419 | + | huidige stand van zaken van Gaiahypothese
Todd Le Vasseur | p364 | - | vat Lynn Whyte's artikel sammen in 3 beweringen
Valeer Neckebrouck | p203 | + | R zonder God(en) bestaan, vind functionele definitie te breed => conceptuele inflatie, referentie naar Peter Berger en Gregory Baum, Prof gaat hiermee akkoord
Valerie Trouet | p151 | + | "ik ben minder bang voor wat het K ons zal aandoen dan voor wat de mensen elkaar zullen aandoen [wegens gevolgen van het K]", prof vind zich ook in dit idee
Wang Yangming | p390 | - | breid idee van Chen Hao uit
Weathers, McCarthy, Coffey | p59 | + | definitie S (verbondenheid, transcendentie & zin/betekenis/bedoeling in het leven), S is intrinsiek M, iedereen heeft het & het is hoogst persoonlijk en uniek, S == positief
William Bill Anders | p398 | + | apollo 8 astronaut die ervaring van earth-rise en overview effect beschrijft
William F. Ruddiman | p315 | + | A bij agrarische revolutie want zo'n grote impact dat ijstijd uitbleef
William James | p209 | + | algemene definitie van R
Will Stefen | p334-352 | + | A pas na de 2de WO, hangt samen met de "grote versnelling"
Yuval Noah Harari | p311,p320 | + | A begint uitsterven megafauna, agrarische revolutie niet even idilisch als voorgesteld (meer werk, minder gevarieerde voeding waardoor meer ziektes en ondervoeding) => meer mensen maar in slechter levensomstandigheden (dubbelzinnig)
Yuval Noah Harari | p38 | + | T is grond voor zorgen
