1. A = antropoceen, E = ecologie/ecologische, N = natuur/lijke, W = wetenschappen, NW = natuurwetenschappen, T = technologie, R = religie, M = mens(en)/menselijk, S = spirituele/spiritualiteit, C = crisis(en), K = klimaat
François Bourguignon | p22 | - | armoede is aan het dalen
M.S. Srinivasan | p53 | - | veel S gesprokken op dat moment (2003), S op het werk niet meer een taboe => populair, 
Judi Neal | p53 | - | zelf omschrijving als "internationale erkende auteur, spreker, coach en consultent" qua S in een ondernemen
Philip Sheldrake | p58, p64 | + | S meest gangbaar in gezondheidszorg, moet groeien, prof gaat hiermee ok, S moet zich in vraag kunnen laten stellen door dramatische gebeurtenissen in de geschiedenis
Weathers, McCarthy, Coffey | p59 | + | definitie S (verbondenheid, transcendentie & zin/betekenis/bedoeling in het leven), S is intrinsiek M, iedereen heeft het & het is hoogst persoonlijk en uniek, S == positief
David Hay | p60 | - | S niet uniform, verandert met levenservaringen
Rebecca Nye | p60 | - | S niet uniform, verandert met levenservaringen
Paul Heelas | p67 | + | moderne M steeds minder laten leiden door vastgelegde rollen, taken, plichten => in tegenstelling tot traditionele religie die benadrukt dat het individu zich moet conformeren aan externe autoriteiten, S is iets +, R is echter - geconnoteerd => shift van R naar nieuwe spiritualiteit
Linda Woodhead | p67 | + | cf Paul Heelas
Bernts en Berghuis | p58 | - | definitie "nieuwe spiritualiteit", revolutie voorspeld door Heelas en Woodhead nooit plaatsgevonden
Leo Apostel | p70 | - | Atheisme & R
Sam Harris | p70 | - | auteur boek die als startpunt van nieuwe S beschouwd wordt, Atheisme & R
Andre Compte-Sponville | p71 | - | Atheisme & R, R niet nodig voor S
Carl Sagan | p73 | + | deel team Voyager, Pale Blue Dot, Astronomie => werkelijk plaats in U, oproep tot verantwoordellijkheid, NW in staat om diepe emotie op te roepen dat Sagan omschijft als S
Taede Smedes | p77 | + | beschijft R naturalisme (naturalisme die niet R uitsluit)
Eric Schatzberg | p78 | + | definieert T, prof maakt gebruik van 2de definitie
Amer Case | p82 | + | smartphones == uitbreiding van onze (mentale) ik => kan tot hogere spiritualiteit leiden (zelf-transcendentie, verbondenheid)
Philip Hefner | p83 | + | T is een spiegel voor M, brede definitie van T
Mihaly Csikszentmihalyi | p85 | - | alternatieve definitie S
Arnold Gehlen | p87 | + | M == Mängelwesen (kwetsbaar en nauwelijks leensvatbaar biologisch misbaksel)
John Houghton | p106 | + | gevolgen voor de M van de opwarming van de aarde (zeespiegel, voedselvoorziening, zoet water, lokale ecosystemen, volksgezondheid)
Mark Lynas | p111 | + | auteur zes graden => beschijft wereld/impact EC voor elke graad
Sylvie Van Ginneken | p115 | - | journaliste bij Standaard, beschrijft haat reacties tegen klimaat jongeren
Greta Thunberg | p117,p143 | + | leidende figuur van klimaat activisme, vorm van autisme waardoor EC extra impact op haar (of zoals de prof zich afvraag, zou dit niet de normale reactie moeten zijn? px)
Per Espen Stoknes | p118 | + | verklaart vermindering van interesse door 1) evolutionaire psychologie (eigenbelang, imitatie, aanzien binnen de groep,korte termijndenken), 2) cognitieve psychologie (EC niet direct zichtbaar, slechte perceptie van de risico's [aka M is stupid], vooroordelen hebben grote impact op ons denken en doen) en 3) NW en Kactivisten beschouwen M als rationeel => is echter niet zo! (p125)
David Wallace-Wells | p129 | - | schreef boek over worst case scenario => zorgde voor veel ophef
Michael E. Mann | 130 | - | reageert op David boek => te alarmistisch, EC is zo al erg genoeg
Eric Holthaus | p130 | + | akkoord met Mann, bang maken is contra productief
Steven Pinker & Maarten Boudry | p133 | + | pessimisme kan gevaarlijk zijn (fatalisme & radicalisme)
Per Espen Stoknes | p134, p140 | + | actief & passief optimisme, stoïsche & gefundeerde hoop
Maarten Boudry | p134 | + | 4 types vooruitgangsloochenaars: nostalgische pessimisten, "Wacht maar"-school, cyclische pessimisten & tredmolen pessismisten
Alex Steffen | p136 | + | waanhoop en cynisme in voordeel van M tegen K
Greta Thunber | p137 | + | phase hoop is voorbij, actie NU is nodig
Hamilon | p139 | + | altijd hoopvol blijven kan belemmering vormen voor waarheid
Eric Holthaus | p143 | + | waanhoop als gevolg van EC
Gillian Caldwell | p145 | - | voorbeeld van "klimaattrauma"
Lise Van Susteren | p146,p148 | + | pre-traumatic stress response in verband met EC
Evanne Nowak | p147 | + | effect EC op mentaal welzijn (groep)
Koen Lowet | p149 | + | Kritisch over "klimaatpsychologie" => denkt dat er inderdaad een probleem is, maar is ervan overtuigd dat bestaande kaders al genoeg zijn
Jerome Bernstein & Joanna Macy | p150 | - | ervaring als psycholoog met patienten die zorgen met EC hadden
Valerie Trouet | p151 | + | "ik ben minder bang voor wat het K ons zal aandoen dan voor wat de mensen elkaar zullen aandoen [wegens gevolgen van het K]", prof vind zich ook in dit idee
Marcel Crok | p155 | + | voorbeeld van klimaatscepticus
Roger A. Pielke Jr. | p162,p167 | + | definieert W, beleid en politiek, tornadopolitiek, abortuspolitiek
Sheila Jasanoff  | p164 | + | omschrijft de coproductie van kennis en sociale orde => natuur en cultuur kunnen niet volledig gescheiden blijven
Mike Hulme | p167 | - | W heeft onenigheid nodig om vooruit te gaan, problemen met technocratie: beleid niet waarden vrij en onrealistische eisen tegenover zekerheid van de W
Marcel Crok | p172 | + | EC is "zoals kerstboom waar iedereen zijn favoriete bol in hangt", EC is bij uitstek postnormale probleem
Grant R. Jeffrey | p175 | + | EC is leugen door "elite" om haar verborgen agenda te realiseren, extreem voorbeeld om belangerijkse punten aan te tonen, dit is veroorzaakt door angst (om zijn gewoontes te veranderen, om zijn vrijheid te beslissen,...) (a really crazy man, but with some good points imo)
Per Espen Stoknes | p177 | + | identiteit
Michael Chrichton | p193 | + | klimaatscepticus, ecologsime == 21ste eeuwse R
John Lennon | p199 | - | Imagine => radicale en antireligieuze boodschap vermomd in religieuze vorm
Valeer Neckebrouck | p203 | + | R zonder God(en) bestaan, vind functionele definitie te breed => conceptuele inflatie, referentie naar Peter Berger en Gregory Baum, Prof gaat hiermee akkoord
John Milton Yinger | p204 | - | definieert religies dankzij functionele definitie
Peter L. Berger | p206 | + | functionele definitie wordt gebruikt speciefieke-religieuze dingen
Gregory Baum | p207 | + | almost same as Peter L. Berger
William James | p209 | + | algemene definitie van R
Michael Chrichton | p211 | + | E biedt voor meer en meer mensen invulling aan => linkt hij aan R, E is slachtoffer van hardnekkige religieuze mythes (bv primitieve M in harmonie met natuur & elkaar, N liefdevol, harmonieus en paradeijslijk)
Gianni Vattimo | p234 | - | aangehaald als belangerijke philosoof in het eerste boek van de prof
Ian G. Barbour | p236 | + | grondlegger studie NW en R, stelde 4 modellen voor om de samenhang te beschijven(p236-237)
Elaine Howard Ecklund | p238 | + | bestudeerde opinie/relatie tussen NW en R (wetenschappers across the globe), concludeerd dat NW en R niet perse in conflict moeten zijn, 
Francis S. Collins | p244, pleidooi p246-254 | + | aanhanger integratie model
Jerry A. Coyne | p244, pleidooi p254-262, p282 | + | aanhanger conflict model, vind NOMA een verdunning van de religie
Stephen J. Gould | p244, pleidooi p268-271 | + | NOMA-principe
Jean-François Lyotard | p262 | + | litige vs differend
Taede Smedes | p265, p287 | + | parabel van de onzichtbare tuinman, integratie model leidt tot conflict model (procrustbed), idee van resonantie
John Wisdom | p266 | - | originele bedenker van de parabel van de onzichtbare tuinman
Anthony Flew | p267 | + | andere versie van parabel onzichtbare tuinman maar vanuit athéïstiche standpunt
Arnold Burms | p272 | + | motieve van M op te delen in 3 categorien: manipulatieve interesse, cognitieve interesse en zingevende interesse => onderscheid tussen feit en waarde, grotste uitdaging van onze tijd is de scheiding tussen NW en zingeving accepteren
Herman De Dijn | p272 | + | cf Arnold Burms
Sam Harris | p276 | + | gaat tegen Arnold Burms en Herman de Dijn in => NW hebben wel iets te zeggen over zingeving, verklaart door het streven naar welzijn door M
Darwin | p280 | + | NW en religie incompatibel => cf vb van sluipwespen
Paul Crutzen | p299 | + | bedenker term A, 
Eugene F. Stroemer, George Perkin Marsch, Antonio Stoppani | p 299 | - | medebedenkers term A (informeel gebruikt)
Thomas William Jenkyn | p302 | - | menselijk tijdperk voordat de term "antropoceen" ingevoerd werd
Georges Louis Leclerq, compte de Buffon | p302 | - | cf Tommas William Jenkyn
Paul Gervais, Charles Lyell | p303 | - | introduceerden de term 'holoceen'
Christophe Bonneuil, Jean-Baptiste Fressoz | p304 | - | M al eeuwen weten dat M grote impact heeft/zal hebben op milieu
Paul Crutzen | p307 | + | keuze begin A arbitrair, opteert einde 18de eeuw (1784 moderne stoomachine)
Yuval Noah Harari | p311,p320 | + | A begint uitsterven megafauna, agrarische revolutie niet even idilisch als voorgesteld (meer werk, minder gevarieerde voeding waardoor meer ziektes en ondervoeding) => meer mensen maar in slechter levensomstandigheden (dubbelzinnig)
Erle C. Ellis | p313 | - | A begint niet bij verdwijning megafauna => andere dieren kunnen ook lokale impact hebben op het ecosysteem & te verspreid over de tijd
William F. Ruddiman | p315 | + | A bij agrarische revolutie want zo'n grote impact dat ijstijd uitbleef
Bruce Smith | p323 | + | alternatieve reden voor begin A bij agrarische revolutie: ipv kijken naar wanneer M een grote impact heeft, kijken naar wat de "bouwstenen" voor deze impact gelegen zijn geweest
Melinda Zeder | p323 | + | cf Bruce Smith
Lewis en Maslin | p324 | + | begin A in 1610 met ontdekking amerika & genocide amerikaanse inheemse bevolkingen + 5 redenen p328-329
Fransisco Guerra | p330 | - | bescrijft tweede reis Columbus
Massimo Livi-Bacci | p332 | + | beschrijft impact aankomst spanjaarden => niet direct gelinkt aan epidemie, eerder aan ontvrichten van samenleving van Indianen, die extra erg werd door epidemie
Will Stefen | p334-352 | + | A pas na de 2de WO, hangt samen met de "grote versnelling"
John Robert McNeill | p339 | - | werkte sammen met Stefen en Curtzen over "grote versnelling", gebruikt daar indicatoren voor (p344)

Lynn White Jr. | p363 | + | historische wortels van EC, grondlegger ecotheologie
Todd Le Vasseur | p364 | - | vat Lynn Whyte's artikel sammen in 3 beweringen
Anna L. Peterson | p364 | - | cf Todd Le Vaseur
Fransiscus van Assisi | p367 | + | heilige die voor natuur streed (beschouwde andere schepsels als familieleden van dezelfde hemelse vader
Bron Taylor | p369 | + | beschrijft reactie op artikel van Lynn White: vijandelijke afwijzing, onverschilligheid, apologetiek en schuldbekentenis 
Richard John Neuhaus | p369 | - | theologische adviseur George W. Bush, ecologisme =~ poging om religie te perverteren en te vervangen door een heidendom
Rabbi Lawrence Troster | p371 | + | reden dat mis gaat : God beeld van M => M is vertengwoordiger god, zegt dat M laatkommers zijn => geen reden tot arrogantie
Paul Fransiscus | deel 9.1.3 | + | auteur "Laudato Si" => natuur niet louter instrumentale waarde, gematigde antropocentrisme, verbonden met een sterke theocentrisme, EC is een RC
Abdullah Omar Nasseef | p372 | + | M tussen engelen en dieren
Shrivatsa Goswanmi | p384 | + | vergroening hindoeïsme
Christopher Ives | p387 | + | vergroening boeddhisme
Joanna Macy | p387 | + | ecoboeddhisme
Chen Hao | p389 | - | voorbeeld uit het taoisme, M zijn is verbonden zijn met omgeving
Wang Yangming | p390 | - | breid idee van Chen Hao uit
James Lovelock | hdstk 9, vooral 9.2 | + | Gaiahypothese (Aarde als één systeem), parabel van de Madeliefjeswereld
William Bill Anders | p398 | + | apollo 8 astronaut die ervaring van earth-rise en overview effect beschrijft
Dian Hitchcock | p403 | - | beoordeelde idee van Lovelock goed
Ford Doolittle | p408 | + | kritiek op Lovelock => Gaia kan geen levend wezen zijn, want stelt beeld van de natuur voor dat "fout" is in het licht van evolutiebiologie. Kan gevaar vormen voor K want kan verkeerd beeld schetsen dat Gaia er zal zijn om te helpen in de EC, atmos is resultaat van toeval, niet van zelfregulering
Richard Dawkins | p408 | + | cf Ford Doolittle
Andrew Watson | p411 | + | ontwirp met Lovelock parabel van de Madeliefjeswereld
Tim Lenton | p415 | - | leerling Lovelock, verkeerd om regulatie door de biosfeer te praten, eerder door levende wezens in biosfeer
Michael Ruse | p415+ | + | beschrijft effect Gaiahypothese, momentum ervan voorbij rond de eeuwwisseling
Toby Tyrell | p419 | + | huidige stand van zaken van Gaiahypothese
Ted Nordhaus | p431 | + | oprichter breaktrough Institute, recepten traditionele groenen niet geschikt
Michael Shellenberger | p431 | + | cf Ted Nordhaus
Michael Chrichton | p433 | + | antropoceen => M vanaf begin grote impact, aarde =! paradijs
Lynas, Nordhaus en Shellenberger | p434 | + | alternatief verhaal voor gevolg van M op K, in vraag stellen van vooruitgang is problematisch, niet realistisch dat mensen zichzelf gaan begrenzen
